bookId,title,author,genre,subgenre,format,isbn,origin,lastKnownRoom,lastKnownBookcase,lastKnownShelf,lastKnownRow,coverImage
book-68e740ab-a655-45c8-b214-e2a19df35232,"Love Haiku: Japanese Poems of Yearning, Passion, and Remembrance",Patricia Donegan,Poetry,Poetry / Anthology,Hardcover,9781590306291,Goodwill,Bedroom,Hutch,Shelf 2,Main,/data/covers/donegan-patricia-love-haiku-japanese-poems-of-yearning-passion-and-remembrance.webp
book-8aea8648-8ed8-4e10-b476-840a71ad638f,A History of Women: Silences of the Middle Ages,Georges Duby; Michelle Perrott; Christiane Klapisch-Zuber,Non-Fiction,Feminism,Paperback,9780674403680,Goodwill,Living Room,TV Stand,Right Shelf,Main,/data/covers/duby-georges-a-history-of-women-silences-of-the-middle-ages.webp
book-ff6278ac-426d-4d6f-a19f-fddd2b30db61,"Bare: On Women, Dancing, Sex, and Power",Elisabeth Eaves,Non-Fiction,Memoir,Paperback,9780375412332,Goodwill,Living Room,Living Room,Shelf 5,Main,/data/covers/eaves-elisabeth-bare-on-women-dancing-sex-and-power.webp
book-63f5e0bb-506b-4dc2-a6c7-e36657e2813d,A Heartbreaking Work of Staggering Genius,Dave Eggers,Non-Fiction,Memoir,Paperback,9780375725784,Gift,Living Room,Living Room,Shelf 5,Main,/data/covers/eggers-dave-a-heartbreaking-work-of-staggering-genius.webp
book-de8fc0e5-e470-47fb-9a5d-2311bcee92f5,Shutter,Ramona Emerson,Fiction,Horror,Paperback,9781641294812,Goodwill,Living Room,Rainbow,Shelf 1,Main,/data/covers/emerson-ramona-shutter.webp
book-6b7381f4-84c1-427b-b45f-900311377679,Medea,Euripides,Fiction,Classical,Paperback,9780872209237,Goodwill,Bedroom,Hutch,Shelf 1,Main,/data/covers/euripides-medea.webp
book-eee62825-4d12-4c7f-ba21-301dba13f8d9,Boys in the Valley,Philip Fracassi,Fiction,Horror,Hardcover,9781250879035,Nightworms,Living Room,Yellow Cart,Shelf 3,Main,/data/covers/fracassi-philip-boys-in-the-valley.webp
book-0553f8d5-ba51-4f33-bb03-8c7110247b3c,"Zodiac Symbology: Its Charm, Beauty, and Fascination",Faith Javane,Non-Fiction,Astrology,Paperback,9780924608117,Ishie,Bedroom,Hutch,Shelf 1,Main,/data/covers/javane-faith-zodiac-symbology-its-charm-beauty-and-fascination.webp
book-836638bd-a60b-4f44-a02c-aa886cd31107,Daisy Jones & the Six,Taylor Jenkins Reid,Fiction,Historical Fiction,Hardcover,9781524798628,Mom,Living Room,TV Stand,Left Shelf,Main,/data/covers/jenkins-reid-taylor-daisy-jones-the-six.webp
book-34a596a4-77e9-431c-a7e5-45de4bf427af,The Satires,Juvenal,Poetry,Classical,Paperback,9780199540662,UGA,Bedroom,Hutch,Shelf 1,Main,/data/covers/juvenal-the-satires.webp
book-6c89f359-e2d4-440d-9c8f-36e144473e62,The Ballerinas,Rachel Kapelke-Dale,Fiction,Mystery / Thriller,Hardcover,9781250274236,Dollar Tree,Living Room,Yellow Cart,Shelf 3,Main,/data/covers/kapelke-dale-rachel-the-ballerinas.webp
book-b380e721-ef99-4f2f-ad01-e04aa687cb7d,The Shadow of the Sun: My African Life,Ryszard Kapuściński,Non-Fiction,Memoir,Paperback,9780140292626,Goodwill,Living Room,Living Room,Shelf 4,Main,/data/covers/kapu-ci-ski-ryszard-the-shadow-of-the-sun-my-african-life.webp
book-26ecc174-3175-4568-8cbc-0ecd65b16cea,Women's America: Refocusing the Past,Linda K. Kerber; Jane Sherron De Hart,Non-Fiction,Feminism,Paperback,9780195091472,Mom,Living Room,TV Stand,Right Shelf,Main,/data/covers/kerber-linda-k-women-s-america-refocusing-the-past.webp
book-2f653b4a-9cfe-445d-9f26-0f9270455439,Doctor Sleep,Stephen King,Fiction,Horror,Hardcover,9781476727653,Mom,Living Room,TV Stand,Right Shelf,Main,/data/covers/king-stephen-doctor-sleep.webp
book-9094aa6e-d952-4249-8e4b-e601fb379652,Missoula: Rape and the Justice System in a College Town,Jon Krakauer,Non-Fiction,True Crime,Paperback,9780804170567,Goodwill,Living Room,Living Room,Shelf 5,Main,/data/covers/krakauer-jon-missoula-rape-and-the-justice-system-in-a-college-town.webp
book-520146dc-b753-4333-b8f6-798ab4f95ecb,Greek Lyrics,Richmond Lattimore,Poetry,Classical,Paperback,9780226469447,UGA,Bedroom,Hutch,Shelf 1,Main,/data/covers/lattimore-richmond-greek-lyrics.webp
book-d1a7e268-ef42-4324-ac2e-0c49c8c15d6d,C++ Primer,Stanley B. Lippman,Non-Fiction,Science,Paperback,9780201548488,Goodwill,Living Room,TV Stand,Left Shelf,Main,/data/covers/lippman-stanley-b-c-primer.webp
book-66a6cc0e-c4a3-4a61-aafa-c278353c6294,The Early History of Rome,Livy,Non-Fiction,Classical,Paperback,9780140448092,UGA,Bedroom,Hutch,Shelf 1,Main,/data/covers/livy-the-early-history-of-rome.webp
book-7e058274-116a-41a6-b29d-b77b6cab3510,Tough Plants for Tough Places,Peter Loewer,Non-Fiction,Nature,Paperback,9780875967301,Goodwill,Living Room,Coffee Table,-,Main,/data/covers/loewer-peter-tough-plants-for-tough-places.webp
book-2e1ec2a3-cb56-4cf1-bfbf-e101a787baac,The Lovecraft Compendium,H.P. Lovecraft,Fiction,Horror,Paperback,9781788289535,Goodwill,Living Room,Yellow Cart,Shelf 2,Main,/data/covers/lovecraft-h-p-the-lovecraft-compendium.webp
book-f6ba2a9a-2eb2-4816-836d-62dc4798ab07,Arizona Facts and Symbols,Emily McAuliffe,Non-Fiction,Travel,Hardcover,9780736822336,Mom,Living Room,TV Stand,Left Shelf,Main,/data/covers/mcauliffe-emily-arizona-facts-and-symbols.webp
book-355359c6-6117-497a-acd0-0c7385e1fd9b,The Housemaid,Freida McFadden,Fiction,Mystery / Thriller,Paperback,9781538742570,Goodwill,Living Room,Living Room,Shelf 4,Main,/data/covers/mcfadden-freida-the-housemaid.webp
book-c2b6828b-c8f7-4b6c-a060-a2646b06aafc,The Island,Adrian McKinty,Fiction,Horror,Hardcover,9780316531283,Nightworms,Living Room,Yellow Cart,Shelf 3,Main,/data/covers/mckinty-adrian-the-island.webp
book-69fdb061-5b92-419c-8b3d-b7269876c076,How to Build a Girl,Caitlin Moran,YA Fiction,Contemporary Fiction,Paperback,9780062335982,Gift,Living Room,TV Stand,Left Shelf,Main,/data/covers/moran-caitlin-how-to-build-a-girl.webp
book-597ed1dc-a01f-4fb6-9d51-fa812157d6dc,The Official Dictionary of Sarcasm: A Lexicon for Those of Us Who Are Better and Smarter Than the Rest of You,James Napoli,Non-Fiction,Humor,Hardcover,9781402769528,Mom,Living Room,TV Stand,Left Shelf,Main,/data/covers/napoli-james-the-official-dictionary-of-sarcasm-a-lexicon-for-those-of-us-who-are-better-and-smarter-than-the-rest-of-you.webp
book-0241fd35-0e5b-4b78-afa6-6de2ae8bf092,Everything I Never Told You,Celeste Ng,Fiction,Mystery / Thriller,Paperback,9780143127550,Goodwill,Living Room,Living Room,Shelf 4,Main,/data/covers/ng-celeste-everything-i-never-told-you.webp
book-aaba524a-c7a7-4a55-bb68-4e3415362704,We Should All Be Feminists,Chimamanda Ngozi Adichie,Non-Fiction,Feminism,Paperback,9781101911761,UGA,Bedroom,Hutch,Shelf 2,Main,/data/covers/ngozi-adichie-chimamanda-we-should-all-be-feminists.webp
book-4bfb9fff-c88c-4ed7-b2e4-7573ac36c77c,Two Nights in Lisbon,Chris Pavon,Fiction,Mystery / Thriller,Hardcover,9780374607562,Goodwill,Living Room,Yellow Cart,Shelf 3,Main,/data/covers/pavon-chris-two-nights-in-lisbon.webp
book-9aca5ad6-ee21-42dd-a83b-47d1b934d9f6,Western Birds,Roger Tory Peterson,Non-Fiction,Nature,Paperback,9780395514245,Goodwill,Living Room,Star Table,-,Main,/data/covers/peterson-roger-tory-western-birds.webp
book-47723589-835f-40d9-8cd8-491637d8d91f,Classic Tales of Horror,Edgar Allen Poe,Fiction,Horror,Paperback,9781785996412,Goodwill,Living Room,Yellow Cart,Shelf 3,Main,/data/covers/poe-edgar-allen-classic-tales-of-horror.webp
book-ceb932db-369e-4ede-a871-014a3a5dbc0b,The Monster's Daughter,Michelle Pretorius,Fiction,Historical Fiction,Paperback,9781612195384,Gift,Living Room,Living Room,Shelf 4,Main,/data/covers/pretorius-michelle-the-monster-s-daughter.webp
book-e1732221-aacb-4fbf-a129-7febac9459f4,The Book of Bizarre Truths: Big Book of Provocative Questions & Myth-Busting Answers,Publications International,Non-Fiction,History,Hardcover,9781450807470,Ishie,Living Room,TV Stand,Left Shelf,Main,/data/covers/publications-international-the-book-of-bizarre-truths-big-book-of-provocative-questions-myth-busting-answers.webp
book-012cb059-94cb-4c5c-a132-543f3bc7ebe4,Above the Waterfall,Ron Rash,Fiction,Literary Fiction,Hardcover,9780062349316,Goodwill,Living Room,TV Stand,Left Shelf,Main,/data/covers/rash-ron-above-the-waterfall.webp
book-5af81409-bc3d-4191-91a6-232ed899709a,The Book Woman of Troublesome Creek,Kim Michele Richardson,Fiction,Historical Fiction,Paperback,9781492671527,Goodwill,Living Room,Living Room,Shelf 2,Main,/data/covers/richardson-kim-michele-the-book-woman-of-troublesome-creek.webp
book-fd09668a-74e4-4cf8-8324-4e2d80ca002a,Bonk: The Curious Coupling of Science and Sex,Mary Roach,Non-Fiction,Science,Hardcover,9780393064643,Goodwill,Living Room,TV Stand,Right Shelf,Main,/data/covers/roach-mary-bonk-the-curious-coupling-of-science-and-sex.webp
book-8a725def-09e2-45d2-b9e2-a97ab4cc0378,Would You Convict?,Paul H. Robinson,Non-Fiction,Politics,Hardcover,9780814775301,ASU,Living Room,TV Stand,Right Shelf,Main,/data/covers/robinson-paul-h-would-you-convict.webp
book-cdcc412b-1ec0-46f6-91d8-fb0f845423cc,Orangutans: Wizards of the Rain Forest,Anne E. Russon,Non-Fiction,Nature,Hardcover,978070966156,Mom,Living Room,Coffee Table,-,Main,/data/covers/russon-anne-e-orangutans-wizards-of-the-rain-forest.webp
book-969df6c5-7952-49be-aafc-2895c6885287,The Penguin Historical Atlas of Ancient Rome,Chris Scarre,Non-Fiction,Classical,Paperback,9780140513295,UGA,Bedroom,Hutch,Shelf 1,Main,/data/covers/scarre-chris-the-penguin-historical-atlas-of-ancient-rome.webp
book-0737ce49-76b3-44eb-a1f4-8de2cfe4d4a4,A Field Guide to Little-Known and Seldom-Seen Birds of North America,Ben Sill; Cathryn Sill; John Sill,Fiction,Humor,Paperback,9780934601580,Mom,Living Room,Star Table,-,Main,/data/covers/sill-ben-a-field-guide-to-little-known-and-seldom-seen-birds-of-north-america.webp
book-d632c7d1-299d-4c1f-9ace-4cb07688e569,Coming to Light: Contemporary Translations of the Native Literatures of North America,Brian Swann,Non-Fiction,History,Paperback,9780679743583,Goodwill,Living Room,TV Stand,Right Shelf,Main,/data/covers/swann-brian-coming-to-light-contemporary-translations-of-the-native-literatures-of-north-america.webp
book-43fa65b5-b86e-449e-9444-90b0ef1da521,Birds of Arizona,Stan Tekiela,Non-Fiction,Nature,Paperback,9781591930150,Goodwill,Living Room,Star Table,-,Main,/data/covers/tekiela-stan-birds-of-arizona.webp
book-6107727e-6dac-4c58-bf03-01b6d02bff1b,Cactus of Arizona,Stan Tekiela; Nora & Rick Bowers,Non-Fiction,Nature,Paperback,9781591930686,Goodwill,Living Room,Star Table,-,Main,/data/covers/tekiela-stan-cactus-of-arizona.webp
book-f1b5f5cc-96e4-4b05-af61-12c41b2e9397,Mammals of Arizona,Stan Tekiela,Non-Fiction,Nature,Paperback,9781591930754,Goodwill,Living Room,Star Table,-,Main,/data/covers/tekiela-stan-mammals-of-arizona.webp
book-d1c3aea8-a065-4997-b622-151988d119e6,Wildflowers of Arizona Field Guide,Stan Tekiela; Nora & Rick Bowers,Non-Fiction,Nature,Paperback,9781591930693,Goodwill,Living Room,Star Table,-,Main,/data/covers/tekiela-stan-wildflowers-of-arizona-field-guide.webp
book-05e8dd79-d5c4-49f5-aed1-06ba175a24ac,Yes We Can: A Biography of President Barack Obama,Garen Thomas,Non-Fiction,Memoir,Paperback,9780312586393,Mom,Living Room,TV Stand,Left Shelf,Main,/data/covers/thomas-garen-yes-we-can-a-biography-of-president-barack-obama.webp
book-79c78715-1fb4-40f2-a60c-54b89472b8b9,Women Who Changed the World,Sarah Vaughan,Non-Fiction,Feminism,Hardcover,9780753733196,Goodwill,Living Room,Rainbow,Shelf 4,Main,/data/covers/vaughan-sarah-women-who-changed-the-world.webp
book-1fe4ebf8-5c7e-4882-b8f8-2dddceaf0918,The Aeneid,Virgil,Poetry,Classical,Paperback,9780140449327,Goodwill,Bedroom,Hutch,Shelf 1,Main,/data/covers/virgil-the-aeneid.webp
book-b64e6c87-642d-4600-9c31-8e5696034000,The Silver Star,Jeannette Walls,Fiction,Historical Fiction,Hardcover,9781451661507,Goodwill,Living Room,TV Stand,Left Shelf,Main,/data/covers/walls-jeannette-the-silver-star.webp
book-75effc52-779f-455b-b054-46b236ad7343,The Penguin Book of Modern Fantasy by Women,A. Susan Williams; Richard Glen Jones,Fiction,Fantasy,Hardcover,9780670859078,Goodwill,Bedroom,Hutch,Shelf 2,Main,/data/covers/williams-a-susan-the-penguin-book-of-modern-fantasy-by-women.webp
book-0b1c88bf-c046-4821-9fa5-75b2af9173e9,All About Love: New Visions,bell hooks,Non-Fiction,Poetry / Anthology,Paperback,9780060959470,Goodwill,Living Room,Living Room,Shelf 4,Main,/data/covers/hooks-bell-all-about-love-new-visions.webp
